,Method_name,sim13Sub001,sim13Sub002,sim13Sub003,sim13Sub004,sim13Sub005,sim13Sub006,sim13Sub007,sim13Sub008,sim13Sub009,sim13Sub010,sim13Sub011,sim13Sub012,sim13Sub013,sim13Sub014,sim13Sub015,sim13Sub016,sim13Sub017,sim13Sub018,sim13Sub019,sim13Sub020,sim13Sub021,sim13Sub022,sim13Sub023,sim13Sub024,sim13Sub025,sim13Sub026,sim13Sub027,sim13Sub028,sim13Sub029,sim13Sub030,sim13Sub031,sim13Sub032,sim13Sub033,sim13Sub034,sim13Sub035,sim13Sub036,sim13Sub037,sim13Sub038,sim13Sub039,sim13Sub040,sim13Sub041,sim13Sub042,sim13Sub043,sim13Sub044,sim13Sub045,sim13Sub046,sim13Sub047,sim13Sub048,sim13Sub049,sim13Sub050
1,Af,0.628676470588235,0.678571428571429,0.588235294117647,0.603174603174603,0.716911764705882,0.628676470588235,0.617647058823529,0.714285714285714,0.635964912280702,0.686507936507937,0.662698412698413,0.62280701754386,0.628676470588235,0.675438596491228,0.575396825396825,0.628676470588235,0.75,0.754385964912281,0.563492063492063,0.456140350877193,0.68014705882353,0.669117647058823,0.557017543859649,0.647058823529412,0.504385964912281,0.639705882352941,0.642857142857143,0.5625,0.658730158730159,0.691176470588235,0.6875,0.558823529411764,0.726190476190476,0.842105263157895,0.646825396825397,0.619047619047619,0.68421052631579,0.683823529411765,0.666666666666667,0.623015873015873,0.746323529411765,0.683823529411765,0.473684210526316,0.555555555555555,0.701754385964912,0.621323529411765,0.6875,0.521929824561404,0.625,0.508771929824561
2,AS,0.628676470588235,0.623015873015873,0.676470588235294,0.670634920634921,0.713235294117647,0.599264705882353,0.540441176470588,0.619047619047619,0.671052631578947,0.821428571428571,0.670634920634921,0.618421052631579,0.566176470588235,0.640350877192982,0.623015873015873,0.577205882352941,0.746323529411765,0.697368421052632,0.575396825396825,0.570175438596491,0.716911764705882,0.761029411764706,0.587719298245614,0.665441176470588,0.605263157894737,0.566176470588235,0.603174603174603,0.628676470588235,0.591269841269841,0.753676470588235,0.691176470588235,0.485294117647059,0.734126984126984,0.807017543859649,0.599206349206349,0.686507936507936,0.701754385964912,0.636029411764706,0.649122807017544,0.650793650793651,0.783088235294118,0.602941176470588,0.464912280701754,0.587301587301587,0.557017543859649,0.569852941176471,0.661764705882353,0.486842105263158,0.669117647058823,0.587719298245614
3,BCohF,0.813333333333333,0.84,0.853333333333333,0.946666666666667,0.813333333333333,0.613333333333333,1,0.906666666666667,0.96,1,0.733333333333333,0.946666666666667,0.813333333333333,0.866666666666667,0.866666666666667,0.973333333333333,0.973333333333333,0.893333333333333,1,0.88,0.653333333333333,0.786666666666667,0.706666666666667,0.946666666666667,0.733333333333333,0.68,0.866666666666667,0.773333333333333,1,0.613333333333333,0.733333333333333,0.786666666666667,0.786666666666667,0.906666666666667,0.786666666666667,0.76,0.84,0.866666666666667,0.866666666666667,1,0.893333333333333,0.893333333333333,0.906666666666667,0.946666666666667,0.893333333333333,0.733333333333333,0.84,1,1,1
4,BCohW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BCorrD,0.617647058823529,0.753968253968254,0.636029411764706,0.746031746031746,0.830882352941177,0.775735294117647,0.753676470588235,0.726190476190476,0.745614035087719,0.781746031746032,0.650793650793651,0.864035087719298,0.786764705882353,0.68421052631579,0.781746031746032,0.838235294117647,0.834558823529412,0.741228070175439,0.793650793650793,0.798245614035088,0.602941176470588,0.727941176470588,0.798245614035088,0.698529411764706,0.666666666666667,0.746323529411765,0.718253968253968,0.555147058823529,0.892857142857143,0.610294117647059,0.680147058823529,0.606617647058823,0.801587301587302,0.833333333333333,0.686507936507937,0.654761904761905,0.662280701754386,0.738970588235294,0.706140350877193,0.825396825396825,0.713235294117647,0.80514705882353,0.728070175438596,0.753968253968254,0.657894736842105,0.625,0.702205882352941,0.793859649122807,0.856617647058823,0.776315789473684
6,BCorrU,0.653333333333333,0.92,0.653333333333333,0.733333333333333,0.88,0.76,0.826666666666667,0.84,0.88,0.973333333333333,0.733333333333333,0.973333333333333,0.946666666666667,1,0.88,0.893333333333333,1,0.72,0.92,0.893333333333333,0.76,0.653333333333333,0.866666666666667,0.76,0.84,0.666666666666667,0.866666666666667,0.586666666666667,1,0.72,0.786666666666667,0.693333333333333,0.88,0.973333333333333,0.706666666666667,0.813333333333333,0.773333333333333,0.746666666666667,0.733333333333333,0.973333333333333,0.826666666666667,0.866666666666667,0.813333333333333,0.893333333333333,0.76,0.733333333333333,0.733333333333333,0.813333333333333,0.973333333333333,0.893333333333333
7,BH2D,0.606617647058823,0.674603174603175,0.625,0.51984126984127,0.606617647058823,0.713235294117647,0.566176470588235,0.424603174603175,0.552631578947368,0.694444444444444,0.476190476190476,0.464912280701754,0.724264705882353,0.68859649122807,0.75,0.790441176470588,0.716911764705882,0.657894736842105,0.591269841269841,0.640350877192982,0.661764705882353,0.602941176470588,0.719298245614035,0.716911764705882,0.56140350877193,0.650735294117647,0.801587301587302,0.625,0.670634920634921,0.6875,0.75,0.606617647058824,0.73015873015873,0.736842105263158,0.587301587301587,0.626984126984127,0.587719298245614,0.606617647058823,0.530701754385965,0.670634920634921,0.610294117647059,0.6875,0.68421052631579,0.630952380952381,0.513157894736842,0.75,0.647058823529412,0.662280701754386,0.724264705882353,0.701754385964912
8,BH2U,0.693333333333333,0.986666666666667,0.546666666666667,0.653333333333333,0.56,0.68,0.6,0.48,0.813333333333333,0.68,0.56,0.6,0.76,0.786666666666667,0.84,0.573333333333333,0.76,0.68,0.64,0.653333333333333,0.72,0.6,1,0.653333333333333,0.52,0.546666666666667,0.626666666666667,0.626666666666667,1,0.68,0.84,0.573333333333333,0.76,0.746666666666667,0.546666666666667,0.706666666666667,0.693333333333333,0.693333333333333,0.693333333333333,0.853333333333333,0.6,0.68,0.56,0.813333333333333,0.68,0.68,0.666666666666667,1,1,0.8
9,BMITD1,0.591911764705882,0.555555555555555,0.713235294117647,0.761904761904762,0.654411764705882,0.797794117647059,0.555147058823529,0.615079365079365,0.618421052631579,0.623015873015873,0.607142857142857,0.596491228070176,0.691176470588235,0.530701754385965,0.718253968253968,0.716911764705882,0.6875,0.600877192982456,0.579365079365079,0.596491228070175,0.647058823529412,0.727941176470588,0.793859649122807,0.647058823529412,0.758771929824561,0.654411764705882,0.714285714285714,0.595588235294118,0.615079365079365,0.727941176470588,0.639705882352941,0.713235294117647,0.567460317460317,0.666666666666667,0.615079365079365,0.595238095238095,0.631578947368421,0.757352941176471,0.710526315789474,0.773809523809524,0.573529411764706,0.573529411764706,0.640350877192983,0.551587301587302,0.574561403508772,0.705882352941176,0.786764705882353,0.587719298245614,0.591911764705882,0.692982456140351
10,BMITD2,0.580882352941177,0.507936507936508,0.720588235294118,0.761904761904762,0.654411764705882,0.882352941176471,0.580882352941176,0.654761904761905,0.62719298245614,0.642857142857143,0.563492063492063,0.583333333333333,0.683823529411765,0.56578947368421,0.71031746031746,0.742647058823529,0.705882352941176,0.618421052631579,0.591269841269841,0.583333333333333,0.665441176470588,0.727941176470588,0.807017543859649,0.628676470588235,0.745614035087719,0.643382352941177,0.742063492063492,0.591911764705882,0.591269841269841,0.742647058823529,0.665441176470588,0.716911764705882,0.543650793650793,0.649122807017544,0.603174603174603,0.531746031746032,0.56140350877193,0.772058823529412,0.719298245614035,0.845238095238095,0.577205882352941,0.558823529411765,0.640350877192983,0.555555555555556,0.56140350877193,0.720588235294118,0.716911764705882,0.552631578947368,0.643382352941177,0.697368421052632
11,BMITU,0.626666666666667,0.573333333333333,0.733333333333333,0.786666666666667,0.653333333333333,0.8,0.746666666666667,0.72,0.68,0.76,0.706666666666667,0.626666666666667,0.653333333333333,0.64,0.706666666666667,0.693333333333333,0.733333333333333,0.666666666666667,0.68,0.626666666666667,0.68,0.693333333333333,0.773333333333333,0.64,0.866666666666667,0.72,0.746666666666667,0.653333333333333,0.733333333333333,0.706666666666667,0.68,0.68,0.68,0.76,0.64,0.506666666666667,0.733333333333333,0.84,0.746666666666667,0.76,0.68,0.6,0.68,0.72,0.653333333333333,0.72,0.826666666666667,0.666666666666667,0.72,0.68
12,BTED,0.588235294117647,0.773809523809524,0.830882352941177,0.623015873015873,0.577205882352941,0.683823529411765,0.595588235294118,0.738095238095238,0.723684210526316,0.630952380952381,0.638888888888889,0.609649122807018,0.727941176470588,0.675438596491228,0.654761904761905,0.75,0.720588235294118,0.657894736842105,0.623015873015873,0.504385964912281,0.705882352941176,0.705882352941176,0.548245614035088,0.838235294117647,0.530701754385965,0.540441176470588,0.575396825396825,0.547794117647059,0.801587301587301,0.595588235294118,0.650735294117647,0.463235294117647,0.698412698412698,0.81140350877193,0.674603174603175,0.571428571428571,0.671052631578947,0.636029411764706,0.635964912280702,0.73015873015873,0.838235294117647,0.735294117647059,0.675438596491228,0.650793650793651,0.521929824561404,0.533088235294118,0.68014705882353,0.552631578947369,0.720588235294118,0.517543859649123
13,BTEU,0.588235294117647,0.857142857142857,0.694852941176471,0.662698412698413,0.647058823529412,0.727941176470588,0.779411764705882,0.714285714285714,0.776315789473684,0.726190476190476,0.567460317460317,0.609649122807017,0.727941176470588,0.75,0.563492063492063,0.816176470588235,0.639705882352941,0.543859649122807,0.646825396825397,0.56140350877193,0.794117647058823,0.676470588235294,0.62280701754386,0.904411764705882,0.535087719298246,0.522058823529412,0.563492063492063,0.426470588235294,0.849206349206349,0.470588235294118,0.702205882352941,0.400735294117647,0.746031746031746,0.81140350877193,0.726190476190476,0.694444444444445,0.868421052631579,0.547794117647059,0.473684210526316,0.678571428571429,0.856617647058823,0.709558823529412,0.543859649122807,0.666666666666667,0.635964912280702,0.617647058823529,0.654411764705882,0.701754385964912,0.794117647058823,0.899122807017544
14,COH1,0.613333333333333,0.88,0.653333333333333,0.666666666666667,0.786666666666667,0.906666666666667,0.84,0.806666666666667,0.8,0.786666666666667,0.76,0.946666666666667,0.733333333333333,0.813333333333333,0.84,0.893333333333333,0.76,0.773333333333333,0.88,0.786666666666667,0.613333333333333,0.573333333333333,0.8,0.76,0.72,0.613333333333333,0.786666666666667,0.546666666666667,0.933333333333333,0.586666666666667,0.68,0.6,0.88,1,0.813333333333333,0.906666666666667,0.733333333333333,0.786666666666667,0.653333333333333,0.76,0.893333333333333,0.746666666666667,0.68,0.866666666666667,0.706666666666667,0.653333333333333,0.84,0.88,0.933333333333333,0.76
15,COH2,0.653333333333333,0.906666666666667,0.6,0.56,0.786666666666667,0.84,0.733333333333333,0.76,0.733333333333333,0.666666666666667,0.52,0.88,0.746666666666667,0.76,0.64,0.786666666666667,0.76,0.88,0.8,0.68,0.573333333333333,0.546666666666667,0.746666666666667,0.533333333333333,0.573333333333333,0.613333333333333,0.826666666666667,0.44,0.933333333333333,0.613333333333333,0.68,0.626666666666667,0.773333333333333,0.96,0.866666666666667,0.706666666666667,0.6,0.813333333333333,0.586666666666667,0.626666666666667,0.92,0.76,0.72,0.746666666666667,0.706666666666667,0.706666666666667,0.826666666666667,0.773333333333333,0.946666666666667,0.706666666666667
16,DC1,0.625,0.773809523809524,0.577205882352941,0.515873015873016,0.786764705882353,0.6875,0.584558823529412,0.690476190476191,0.675438596491228,0.527777777777778,0.543650793650794,0.697368421052632,0.621323529411765,0.662280701754386,0.678571428571428,0.742647058823529,0.676470588235294,0.671052631578947,0.492063492063492,0.504385964912281,0.683823529411764,0.75,0.679824561403509,0.602941176470588,0.574561403508772,0.514705882352941,0.511904761904762,0.647058823529412,0.722222222222222,0.536764705882353,0.658088235294118,0.621323529411764,0.785714285714286,0.723684210526316,0.757936507936508,0.599206349206349,0.701754385964912,0.75,0.565789473684211,0.492063492063492,0.713235294117647,0.691176470588235,0.43421052631579,0.678571428571429,0.587719298245614,0.761029411764706,0.786764705882353,0.706140350877193,0.702205882352941,0.618421052631579
17,dDTF,0.514705882352941,0.646825396825397,0.595588235294118,0.742063492063492,0.823529411764706,0.654411764705882,0.610294117647059,0.607142857142857,0.714912280701754,0.805555555555555,0.607142857142857,0.68859649122807,0.69485294117647,0.592105263157895,0.623015873015873,0.705882352941177,0.790441176470588,0.618421052631579,0.523809523809524,0.609649122807018,0.628676470588235,0.724264705882353,0.75,0.610294117647059,0.62280701754386,0.544117647058823,0.626984126984127,0.636029411764706,0.726190476190476,0.599264705882353,0.625,0.625,0.785714285714286,0.820175438596491,0.801587301587302,0.626984126984127,0.653508771929825,0.661764705882353,0.62280701754386,0.706349206349206,0.720588235294118,0.628676470588235,0.513157894736842,0.726190476190476,0.657894736842105,0.705882352941176,0.772058823529412,0.75,0.742647058823529,0.68421052631579
18,DTF,0.610294117647059,0.694444444444444,0.566176470588235,0.555555555555556,0.768382352941176,0.654411764705882,0.529411764705882,0.674603174603175,0.675438596491228,0.591269841269841,0.551587301587302,0.657894736842105,0.691176470588235,0.675438596491228,0.626984126984127,0.75,0.761029411764706,0.679824561403509,0.511904761904762,0.513157894736842,0.665441176470588,0.731617647058823,0.653508771929825,0.558823529411765,0.552631578947369,0.573529411764706,0.650793650793651,0.665441176470588,0.638888888888889,0.654411764705882,0.694852941176471,0.599264705882353,0.702380952380952,0.837719298245614,0.773809523809524,0.646825396825397,0.771929824561403,0.676470588235294,0.609649122807018,0.527777777777778,0.705882352941177,0.555147058823529,0.399122807017544,0.642857142857143,0.596491228070176,0.636029411764706,0.753676470588235,0.631578947368421,0.716911764705882,0.640350877192982
19,ffDTF,0.588235294117647,0.69047619047619,0.595588235294118,0.619047619047619,0.786764705882353,0.661764705882353,0.533088235294118,0.662698412698413,0.684210526315789,0.599206349206349,0.543650793650793,0.640350877192982,0.705882352941176,0.692982456140351,0.638888888888889,0.75,0.746323529411765,0.618421052631579,0.515873015873016,0.517543859649123,0.658088235294118,0.727941176470588,0.640350877192983,0.573529411764706,0.565789473684211,0.536764705882353,0.658730158730159,0.676470588235294,0.611111111111111,0.647058823529412,0.698529411764706,0.599264705882353,0.678571428571429,0.798245614035088,0.76984126984127,0.607142857142857,0.767543859649123,0.647058823529412,0.605263157894737,0.511904761904762,0.716911764705882,0.566176470588235,0.355263157894737,0.662698412698413,0.574561403508772,0.625,0.757352941176471,0.609649122807018,0.702205882352941,0.627192982456141
20,Genie,0.985294117647059,0.746031746031746,0.621323529411764,0.912698412698413,0.838235294117647,0.841911764705882,0.863970588235294,0.78968253968254,0.81140350877193,0.912698412698413,0.884920634920635,0.881578947368421,0.786764705882353,0.653508771929825,0.904761904761905,0.908088235294118,0.908088235294118,0.828947368421053,0.817460317460317,0.780701754385965,0.595588235294118,0.808823529411765,0.87280701754386,0.827205882352941,0.780701754385965,0.834558823529412,0.837301587301587,0.727941176470588,0.928571428571429,0.639705882352941,0.738970588235294,0.834558823529412,0.904761904761905,0.833333333333333,0.761904761904762,0.753968253968254,0.771929824561404,0.9375,0.815789473684211,0.916666666666667,0.713235294117647,0.75,0.850877192982456,0.781746031746032,0.837719298245614,0.794117647058824,0.875,0.859649122807018,0.867647058823529,0.802631578947369
